mean_x,std_x,median_x,root_mean_square_x,mean_y,std_y,median_y,root_mean_square_y,mean_z,std_z,median_z,root_mean_square_z,Activity
-3.9335149235758187,1.3344391740947825,-3.9565723,4.1537052812341475,-6.277466830554156,2.9433955586682354,-6.795868,6.933265264180763,2.309112532065491,4.719792524820806,4.3697133,5.254373622335612,hand_wash
-3.345796926622727,1.709852557535914,-3.55959775,3.7573864377663093,-8.02571044570707,1.4391390209636081,-8.041877,8.153719965757452,-0.6392887736616164,4.328647140200422,-0.89094725,4.375600096043406,hand_wash
-2.4926165753223617,2.2166206303337574,-2.5315355999999998,3.335647524903224,-8.40737305678392,1.3808075696784479,-8.461604000000001,8.52000887678044,-3.2477668440276375,3.675436283895257,-4.140988500000001,4.904775361842684,hand_wash
-1.9230824513248104,2.393137857715999,-2.0058289,3.0700740904132853,-8.381925639746836,1.6499968959824183,-8.489147,8.542784510158091,-5.428475503881013,3.879027872230538,-5.1361194,6.67197148748236,hand_wash
-1.7485819905977271,2.4639496884298984,-1.7681232,3.021355166966721,-8.049064916161617,1.921001689641051,-8.314309999999999,8.27512498492848,-5.950967353330808,4.574191326942621,-5.6438635,7.505813662480983,hand_wash
-2.0498547759840506,2.649247330038345,-1.9603235,3.3496889435199684,-7.290011977468354,2.141493181410766,-7.588619,7.5980436743717705,-7.08959739135443,5.1325571314498415,-7.0904555,8.752458733355798,hand_wash
-2.66373769424481,2.537724265379531,-2.4644752,3.679068217747089,-6.823410628607595,2.1530201387230625,-6.71803,7.155028184734297,-7.564666172789874,5.360192430557797,-7.8448863,9.271237091044565,hand_wash
-2.7887444956826637,2.1377469423320106,-2.50998055,3.5138380514261343,-6.730483279396985,2.1934979294675756,-6.500681650000001,7.078900927461899,-6.961542496432161,5.512447105963865,-7.1904473,8.87976052749624,hand_wash
-2.582617385833834,2.0294085564581645,-2.3483167,3.284571760616108,-5.81957031350376,2.506168765935858,-5.7863674,6.336267080637203,-3.3985237099598993,7.9493523919295,-5.1289344,8.64535521874231,hand_wash
-2.40228242524175,2.0944828547433563,-2.2261706500000003,3.1871333953004326,-5.3928744457699995,3.284123209906269,-4.9648755,6.314155529101587,0.6570975742299993,7.9887678246522515,4.379891799999999,8.015746289538987,hand_wash
